States/UTs,Geographical - Area (sq km),RFA - (sq km),Volume of Growing Stock (m. cum) - In Forest,Volume of Growing Stock (m. cum) - In TOF,Volume of Growing Stock (m. cum) - Total
Andhra Pradesh,"2,75,069","63,814",195.829,102.146,297.975
Arunachal Pradesh,"83,743","51,541",439.51,87.938,527.448
Assam,"78,438","26,832",151.904,38.087,189.991
Bihar,"94,163","6,473",29.328,41.66,70.988
Chhattisgarh,"1,35,191","59,772",347.106,76.313,423.419
Delhi,"1,483",85,0.47,1.047,1.517
Goa,"3,702","1,225",10.331,3.909,14.24
Gujarat,"1,96,022","21,647",50.62,109.012,159.632
Haryana,"44,212","1,559",5.388,14.194,19.582
Himachal Pradesh,"55,673","37,033",317.295,20.763,338.058
JammuandKashmir,"2,22,236","20,230",232.181,145.064,377.245
Jharkhand,"79,714","20,605",103.734,55.945,159.679
Karnataka,"1,91,791","38,284",294.631,89.531,384.162
Kerala,"38,863","11,309",152.269,45.788,198.057
Madhya Pradesh,"3,08,245","94,689",251.003,82.979,333.982
Maharashtra,"3,07,713","61,357",208.495,139.704,348.199
Manipur,"22,327","17,418",50.288,9.368,59.656
Meghalaya,"22,429","9,496",39.882,20.047,59.929
Mizoram,"21,081","16,717",59.359,8.165,67.524
Nagaland,"16,579","9,222",37.076,11.89,48.966
Odisha,"1,55,707","58,136",235.768,74.494,310.262
Punjab,"50,362","3,084",13.018,17.061,30.079
Rajasthan,"3,42,239","32,737",34.088,79.17,113.258
Sikkim,"7,096","5,841",23.841,2.423,26.264
Tamil Nadu,"1,30,058","22,877",116.042,62.139,178.181
Tripura,"10,486","6,294",22.904,6.871,29.775
Uttar Pradesh,"2,40,928","16,583",134.509,76.106,210.615
Uttarakhand,"53,483","34,651",473.083,19.336,492.419
West Bengal,"88,752","11,879",83.305,41.737,125.042
Andaman andNicobar Islands,"8,249","7,171",57.953,0.545,58.498
Chandigarh,114,35,0.262,0.082,0.344
DadraandNagar Haveli,491,204,1.807,0.72,2.527
DamanandDiu,112,8,0.001,0.104,0.105
Lakshadweep,32,0,0,0.052,0.052
Puducherry,480,13,0.083,0.294,0.377
Total,"32,87,263","7,71,821","4,173.36","1,484.68","5,658.05"
